Log Time,Period(ms),Service,Operation
2018-07-20 12:30:50,206,CommonService,addressWS/getAllAddress
2018-07-20 12:30:50,435,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-20 12:31:11,4,CommonService,dropdownWS/getDropdown/HL_PRODUCT
2018-07-20 12:31:11,15,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-20 12:31:11,4,CommonService,dropdownWS/getDropdown/HL_RESIDENT_TYPE
2018-07-20 12:31:11,8,CommonService,dropdownWS/getDropdown/SECOND_HAND_HOME_TYPE_CODE
2018-07-20 12:31:11,134,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-20 12:31:11,103,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-20 12:31:11,151,CommonService,addressWS/getAllAddress
2018-07-20 12:31:35,3875,CommonService,LoanWS/getHomeLendingLimit/1591357/LN/H610058FR0/5
2018-07-20 12:31:49,11641,CommonService,LoanWS/getHLCollateral/93566051430101/H610058FR0
2018-07-20 12:31:53,33,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:41:20,41,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:41:45,15,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:41:48,15,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:42:08,19,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:42:09,95,CommonService,employeeWS/findBranchEmployee/810190
2018-07-20 12:42:09,470,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:42:09,356,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:42:10,223,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:42:19,97,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:42:34,75,CommonService,WorkflowWS/logout
2018-07-20 12:42:39,177,CommonService,UnsecureWS/login
2018-07-20 12:42:40,125,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:42:41,201,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:42:42,17,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:42:42,8,CommonService,dropdownWS/getDropdown/DOC_SUB_RETURN_REASON
2018-07-20 12:42:42,14,CommonService,dropdownWS/getDropdown/DOC_RETURN_REASON
2018-07-20 12:42:42,12,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-20 12:43:06,24,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:43:10,40,CommonService,dropdownWS/getAppStatusDropdown
2018-07-20 12:43:11,205,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-030
2018-07-20 12:43:11,428,CommonService,applicationCaseWS/getApplicationStatus/H610058ER0
2018-07-20 12:43:11,230,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-040
2018-07-20 12:43:11,273,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-020
2018-07-20 12:43:11,323,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-010
2018-07-20 12:43:11,290,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-060
2018-07-20 12:43:11,441,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-055
2018-07-20 12:43:11,736,CommonService,applicationCaseWS/getCreditorsTable/H610058ER0
2018-07-20 12:43:24,79,CommonService,addressWS/getAllAddress
2018-07-20 12:43:28,39,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:43:36,14,CommonService,WorkflowWS/logout
2018-07-20 12:43:43,78,CommonService,UnsecureWS/login
2018-07-20 12:43:44,529,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:43:45,166,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:43:47,32,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:44:02,22,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:44:40,22,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:44:41,215,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:44:41,196,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:44:57,43,CommonService,WorkflowWS/logout
2018-07-20 12:45:02,98,CommonService,UnsecureWS/login
2018-07-20 12:45:03,1089,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:45:10,184,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:45:12,30,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:45:12,200,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:45:13,179,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:45:15,100,CommonService,addressWS/getAllAddress
2018-07-20 12:45:17,32,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:45:17,88,CommonService,addressWS/getAllAddress
2018-07-20 12:45:22,92,CommonService,addressWS/getAllAddress
2018-07-20 12:46:04,58,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:46:28,21,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:46:28,208,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:46:28,179,CommonService,dropdownWS/getDihRCAll
2018-07-20 12:46:38,19,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:46:53,12,CommonService,WorkflowWS/logout
2018-07-20 12:46:58,55,CommonService,UnsecureWS/login
2018-07-20 12:46:59,66,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:47:00,114,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:47:02,19,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:47:27,19,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:47:34,155,CommonService,relationshipWS/findObjBySubjRelationship/5612
2018-07-20 12:47:37,4,CommonService,dropdownWS/getDropdown/BOD_TYPE
2018-07-20 12:47:37,45,CommonService,relationshipWS/findIndirectPerson
2018-07-20 12:48:06,5,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
2018-07-20 12:48:06,33,CommonService,dropdownWS/getConfValueList/CTR_COLL_MAIN_TYPE
2018-07-20 12:48:06,31,CommonService,dropdownWS/getDropdown/CTR_COLLATERAL_SUB_TYPE
2018-07-20 12:48:06,82,CommonService,addressWS/getAllDIHProvince
2018-07-20 12:48:06,45,CommonService,dropdownWS/getDropdown/CTR_ACCEPT_RESULT
2018-07-20 12:48:06,42,CommonService,dropdownWS/getDropdown/CTR_ASSET_GROUP
2018-07-20 12:48:06,47,CommonService,dropdownWS/getDropdown/CTR_ASSET_TYPE
2018-07-20 12:48:06,6,CommonService,dropdownWS/getDropdown/CTR_DOCUMENT_TYPE
2018-07-20 12:48:06,4,CommonService,dropdownWS/getDropdown/CMS_COLL_TYPE
2018-07-20 12:48:06,19,CommonService,dropdownWS/getDropdown/CTR_LEASING_TYPE
2018-07-20 12:48:06,54,CommonService,dropdownWS/getDropdown/CTR_BUILDING_TYPE
2018-07-20 12:48:06,25,CommonService,dropdownWS/getDropdown/CTR_JURISTIC_ACT
2018-07-20 12:48:06,43,CommonService,dropdownWS/getDropdown/CMS_COLL_SUB_TYPE
2018-07-20 12:48:08,1437,CommonService,addressWS/getAllDIHDistrict
2018-07-20 12:48:09,2479,CommonService,addressWS/getAllDIHSubDistrict
2018-07-20 12:48:10,10,CommonService,dropdownWS/getDropdown/NCB_ACCOUNT_TYPE
2018-07-20 12:48:10,8,CommonService,dropdownWS/getDropdown/NCB_OWNERSHIP_INDICATOR
2018-07-20 12:48:10,15,CommonService,dropdownWS/getDropdown/NCB_CREDIT_LIMIT_EDIT_TYPE
2018-07-20 12:48:15,5,CommonService,dropdownWS/getDropdown/HL_PART_INST_CODE
2018-07-20 12:48:15,9,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-20 12:48:17,13,CommonService,WorkflowWS/logout
2018-07-20 12:48:37,69,CommonService,UnsecureWS/login
2018-07-20 12:48:38,412,CommonService,WorkflowWS/listUserInbox
2018-07-20 12:49:51,141,CommonService,WorkflowWS/openCaseByAppNo/H610058ER0
2018-07-20 12:49:55,33,CommonService,statusRejectWS/getRejectList/H610058ER0
2018-07-20 12:50:03,5,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-20 12:50:04,3,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-20 12:50:05,25,CommonService,applicationCaseWS/applicationExternalService/H610058ER0/AP/DE/0
2018-07-20 12:50:09,2323,CommonService,decisionEngineWS/getPolicy/home-loan/H610058ER0/undefined
2018-07-20 12:51:10,3,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-20 12:51:13,3,CommonService,PartInstPeriodWS/getConfPartInstPeriod/1
2018-07-20 12:51:13,5,CommonService,dropdownWS/getDropdown/HL_DECISION_CODE
2018-07-20 12:51:13,17,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-20 12:51:25,11,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
2018-07-20 12:51:25,13,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
2018-07-20 12:51:25,12,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
2018-07-20 12:51:28,19,CommonService,WorkflowWS/getApprove020ApproveType
2018-07-20 12:51:31,29,CommonService,WorkflowWS/changeApprove020ApproveType
2018-07-20 12:51:38,137,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-030
2018-07-20 12:51:38,152,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-040
2018-07-20 12:51:38,261,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-020
2018-07-20 12:51:38,287,CommonService,applicationCaseWS/getCreditorsTable/H610058ER0
2018-07-20 12:51:38,287,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-010
2018-07-20 12:51:38,134,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-060
2018-07-20 12:51:38,146,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-055
2018-07-20 12:51:38,358,CommonService,applicationCaseWS/getApplicationStatus/H610058ER0
2018-07-20 12:51:40,133,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-055
2018-07-20 12:51:40,150,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-040
2018-07-20 12:51:40,171,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-030
2018-07-20 12:51:40,207,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-020
2018-07-20 12:51:40,212,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-010
2018-07-20 12:51:40,171,CommonService,applicationCaseWS/getApproverTable/H610058ER0/approve-060
2018-07-20 12:51:40,357,CommonService,applicationCaseWS/getCreditorsTable/H610058ER0
2018-07-20 12:51:48,77,CommonService,relationshipWS/findObjBySubjRelationship/5612
2018-07-20 12:52:11,75,CommonService,relationshipWS/findObjBySubjRelationship/5612
2018-07-20 12:52:18,10,CommonService,relationshipWS/findIndirectPerson
2018-07-20 12:52:20,9,CommonService,WorkflowWS/getApprove020ApproveType
2018-07-20 12:52:25,9,CommonService,relationshipWS/findIndirectPerson
2018-07-20 12:52:28,8,CommonService,applicationCaseWS/applicationExternalService/H610058ER0/AP/DE/0
2018-07-20 12:52:35,5066,CommonService,decisionEngineWS/getPolicy/home-loan/H610058ER0/false
2018-07-20 12:52:56,81,CommonService,addressWS/getAllAddress
2018-07-20 12:52:58,18,CommonService,statusRejectWS/getRejectList/H610058FR0
2018-07-20 12:52:59,74,CommonService,addressWS/getAllAddress
