Log Time,Period(ms),Service,Operation
2018-07-06 17:02:29,29,CommonService,UnsecureWS/login
2018-07-06 17:02:30,26,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:02:41,482,CommonService,WorkflowWS/openCaseByAppNo/H6100390R0
2018-07-06 17:02:43,16,CommonService,statusRejectWS/getRejectList/H6100390R0
2018-07-06 17:02:53,33,CommonService,addressWS/getAllDIHProvince
2018-07-06 17:02:53,185,CommonService,addressWS/getAllDIHDistrict
2018-07-06 17:02:54,762,CommonService,addressWS/getAllDIHSubDistrict
2018-07-06 17:03:03,4,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:03:10,4,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-06 17:03:31,6,CommonService,WorkflowWS/getApprove020ApproveType
2018-07-06 17:03:45,86,CommonService,statusRejectWS/getRejectList/H6100423R0
2018-07-06 17:04:48,81,CommonService,applicationCaseWS/getApplicationStatus/H6100423R0
2018-07-06 17:04:49,143,CommonService,applicationCaseWS/getCreditorsTable/H6100423R0
2018-07-06 17:04:49,150,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-055
2018-07-06 17:04:49,152,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-020
2018-07-06 17:05:01,148,CommonService,applicationCaseWS/getCreditorsTable/H6100423R0
2018-07-06 17:05:01,194,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-020
2018-07-06 17:05:01,187,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-055
2018-07-06 17:05:02,4,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:05:11,6,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:05:11,167,CommonService,applicationCaseWS/getCreditorsTable/H6100423R0
2018-07-06 17:05:11,175,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-055
2018-07-06 17:05:11,174,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-020
2018-07-06 17:05:12,92,CommonService,applicationCaseWS/getApplicationStatus/H6100423R0
2018-07-06 17:05:21,72,CommonService,addressWS/getAllAddress
2018-07-06 17:05:21,64,CommonService,addressWS/getAllAddress
2018-07-06 17:05:30,66,CommonService,addressWS/getAllAddress
2018-07-06 17:05:31,63,CommonService,addressWS/getAllAddress
2018-07-06 17:05:35,23,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:05:40,27,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:05:41,180,CommonService,WorkflowWS/openCaseByAppNo/H6100390R0
2018-07-06 17:05:42,20,CommonService,statusRejectWS/getRejectList/H6100390R0
2018-07-06 17:05:50,25,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:05:51,27,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:05:51,29,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-06 17:05:51,353,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-06 17:05:52,92,CommonService,WorkflowWS/openCaseByAppNo/H6100382R0
2018-07-06 17:05:54,14,CommonService,statusRejectWS/getRejectList/H6100382R0
2018-07-06 17:06:02,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:06:09,138,CommonService,dropdownWS/getDihRCAll
2018-07-06 17:06:09,142,CommonService,dropdownWS/getDihRCAll
2018-07-06 17:06:21,51,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:06:36,3,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-06 17:07:06,73,CommonService,customerWS/getInquiryTable
2018-07-06 17:07:35,24,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:07:57,405,CommonService,WorkflowWS/openCaseByAppNo/H6100382R0
2018-07-06 17:07:58,107,CommonService,statusRejectWS/getRejectList/H6100382R0
2018-07-06 17:08:18,217,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:09:10,52,CommonService,addressWS/getAllDIHProvince
2018-07-06 17:09:10,196,CommonService,addressWS/getAllDIHDistrict
2018-07-06 17:09:11,776,CommonService,addressWS/getAllDIHSubDistrict
2018-07-06 17:09:20,6,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:09:24,3,CommonService,dropdownWS/getRejectReasonDropdown
2018-07-06 17:09:32,28,CommonService,UnsecureWS/login
2018-07-06 17:09:33,108,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:09:48,92,CommonService,WorkflowWS/openCaseByAppNo/H6100044R0
2018-07-06 17:09:49,13,CommonService,statusRejectWS/getRejectList/H6100044R0
2018-07-06 17:10:03,13,CommonService,statusRejectWS/getRejectList/H6100044R0
2018-07-06 17:10:18,15,CommonService,statusRejectWS/getRejectList/H6100044R0
2018-07-06 17:10:18,2,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-06 17:10:36,2,CommonService,WorkflowWS/logout
2018-07-06 17:10:45,34,CommonService,UnsecureWS/login
2018-07-06 17:10:46,35,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:10:47,26,CommonService,UnsecureWS/login
2018-07-06 17:10:48,98,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:10:55,100,CommonService,WorkflowWS/openCaseByAppNo/H6100044R0
2018-07-06 17:10:58,14,CommonService,statusRejectWS/getRejectList/H6100044R0
2018-07-06 17:10:58,2,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-06 17:12:30,2,CommonService,WorkflowWS/logout
2018-07-06 17:13:14,200,CommonService,applicationCaseWS/getApplicationStatus/H610040DR0
2018-07-06 17:13:15,14,CommonService,resubmitReasonWS/doFindAppStatus/H610040DR0
2018-07-06 17:15:06,104,CommonService,WorkflowWS/openCaseByAppNo/H6100423R0
2018-07-06 17:15:09,3,CommonService,WorkflowWS/logout
2018-07-06 17:15:13,12,CommonService,statusRejectWS/getRejectList/H6100423R0
2018-07-06 17:15:14,6,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:15:25,153,CommonService,applicationCaseWS/getCreditorsTable/H6100423R0
2018-07-06 17:15:25,158,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-020
2018-07-06 17:15:25,152,CommonService,applicationCaseWS/getApproverTable/H6100423R0/approve-055
2018-07-06 17:15:25,232,CommonService,applicationCaseWS/getApplicationStatus/H6100423R0
2018-07-06 17:15:33,61,CommonService,addressWS/getAllAddress
2018-07-06 17:15:34,63,CommonService,addressWS/getAllAddress
2018-07-06 17:15:46,60,CommonService,addressWS/getAllAddress
2018-07-06 17:15:46,63,CommonService,addressWS/getAllAddress
2018-07-06 17:16:10,13,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:16:10,18,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-06 17:16:10,199,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-06 17:16:21,2,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:16:24,151,CommonService,dropdownWS/getDihRCAll
2018-07-06 17:16:24,155,CommonService,dropdownWS/getDihRCAll
2018-07-06 17:16:25,144,CommonService,UnsecureWS/login
2018-07-06 17:16:26,8,CommonService,messageCodeWS/getAllMessage
2018-07-06 17:16:26,36,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:16:40,97,CommonService,WorkflowWS/openCaseByAppNo/H6100432R0
2018-07-06 17:16:40,13,CommonService,statusRejectWS/getRejectList/H6100432R0
2018-07-06 17:16:52,3,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-06 17:17:00,24,CommonService,UnsecureWS/login
2018-07-06 17:17:01,7,CommonService,messageCodeWS/getAllMessage
2018-07-06 17:17:01,98,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:17:11,35,CommonService,UnsecureWS/login
2018-07-06 17:17:11,3,CommonService,dropdownWS/getConfKdmsDocumentDropDown/1
2018-07-06 17:17:12,195,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:17:12,94,CommonService,WorkflowWS/openCaseByAppNo/H61003BFR0
2018-07-06 17:17:12,16,CommonService,statusRejectWS/getRejectList/H61003BFR0
2018-07-06 17:17:14,5,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-06 17:17:14,2,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
2018-07-06 17:17:14,10,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
2018-07-06 17:17:14,7,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
2018-07-06 17:17:14,18,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
2018-07-06 17:17:17,59,CommonService,customerWS/getInquiryTable
2018-07-06 17:17:35,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:17:38,49,CommonService,customerWS/getInquiryTable
2018-07-06 17:17:41,50,CommonService,customerWS/getInquiryTable
2018-07-06 17:18:14,177,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:18:15,26,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:18:16,92,CommonService,WorkflowWS/openCaseByAppNo/H6100432R0
2018-07-06 17:18:17,13,CommonService,statusRejectWS/getRejectList/H6100432R0
2018-07-06 17:18:20,4,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-06 17:18:22,6,CommonService,addressWS/getAllDIHProvince
2018-07-06 17:18:23,153,CommonService,addressWS/getAllDIHDistrict
2018-07-06 17:18:23,57,CommonService,UnsecureWS/login
2018-07-06 17:18:23,794,CommonService,addressWS/getAllDIHSubDistrict
2018-07-06 17:18:29,28,CommonService,UnsecureWS/login
2018-07-06 17:18:30,14,CommonService,messageCodeWS/getAllMessage
2018-07-06 17:18:30,119,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:18:41,127,CommonService,WorkflowWS/openCaseByAppNo/H61003CAR0
2018-07-06 17:18:41,15,CommonService,statusRejectWS/getRejectList/H61003CAR0
2018-07-06 17:18:42,155,CommonService,WorkflowWS/listUserInbox
2018-07-06 17:18:44,3,CommonService,WorkflowWS/logout
2018-07-06 17:18:47,8,CommonService,PartInstPeriodWS/getConfPartInstPeriod/3
2018-07-06 17:18:48,90,CommonService,WorkflowWS/openCaseByAppNo/H6100432R0
2018-07-06 17:18:48,12,CommonService,statusRejectWS/getRejectList/H6100432R0
