MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
628,94,233,5,1165,HomeLoanService,HomeLoanWS/doPreload/prepare-021/income
581,175,427,4,1708,HomeLoanService,HomeLoanWS/doPreload/prepare-021/loan-info
1158,215,482,78,37596,HomeLoanService,HomeLoanWS/doPreload/prepare-021/package
454,100,237,5,1185,HomeLoanService,HomeLoanWS/doPreload/prepare-021/personal-info
1724,229,497,874,434378,HomeLoanService,HomeLoanWS/doPreload/prepare-021/summary-package
197,197,197,1,197,HomeLoanService,HomeLoanWS/doPreload/prepare-022/cust-info
315,110,180,6,1080,HomeLoanService,HomeLoanWS/doPreload/prepare-022/income
606,203,381,4,1524,HomeLoanService,HomeLoanWS/doPreload/prepare-022/loan-info
296,127,211,2,422,HomeLoanService,HomeLoanWS/doPreload/prepare-022/personal-info
1113,229,401,357,143157,HomeLoanService,HomeLoanWS/doPreload/prepare-022/summary-package
65,7,43,8,344,HomeLoanService,HomeLoanWS/doPreload/prepare-030/basic-repayment-ability
661,102,336,6,2016,HomeLoanService,HomeLoanWS/doPreload/prepare-030/cust-info
750,90,367,18,6606,HomeLoanService,HomeLoanWS/doPreload/prepare-030/income
756,171,468,11,5148,HomeLoanService,HomeLoanWS/doPreload/prepare-030/loan-info
700,88,317,23,7291,HomeLoanService,HomeLoanWS/doPreload/prepare-030/personal-info
356,14,35,170,5950,HomeLoanService,HomeLoanWS/doPreload/prepare-030/sale-channel
952,6,470,14,6580,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-package
1757,272,669,155,103695,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-result
16,6,11,2,22,HomeLoanService,HomeLoanWS/doPreload/system-011/basic-repayment-ability
299,91,159,5,795,HomeLoanService,HomeLoanWS/doPreload/system-011/cust-info
325,103,132,58,7656,HomeLoanService,HomeLoanWS/doPreload/system-011/summary-result
85,85,85,1,85,HomeLoanService,HomeLoanWS/doPreload/system-012/cust-info
269,219,244,6,1464,HomeLoanService,HomeLoanWS/doPreload/system-012/summary-result
117,117,117,1,117,HomeLoanService,HomeLoanWS/doPreload/system-013/cust-info
54,54,54,1,54,HomeLoanService,HomeLoanWS/doPreload/system-013/sale-channel
472,287,359,20,7180,HomeLoanService,HomeLoanWS/doPreload/system-013/summary-result
1044,334,659,7,4613,HomeLoanService,HomeLoanWS/doPreload/system-015/approve-result-front
113,113,113,1,113,HomeLoanService,HomeLoanWS/doPreload/system-020/income
117,117,117,1,117,HomeLoanService,HomeLoanWS/doPreload/system-020/personal-info
853,240,395,35,13825,HomeLoanService,HomeLoanWS/doPreload/system-020/summary-result
353,353,353,1,353,HomeLoanService,HomeLoanWS/doPreload/system-030/verify-document
116,116,116,1,116,HomeLoanService,HomeLoanWS/doPreload/system-031/application-detail
814,630,722,2,1444,HomeLoanService,HomeLoanWS/doPreload/system-031/approve-decision
1659,910,1180,5,5900,HomeLoanService,HomeLoanWS/doPreload/system-031/approve-summary
34,34,34,1,34,HomeLoanService,HomeLoanWS/doPreload/system-031/debt-exposure
1360,1263,1311,2,2622,HomeLoanService,HomeLoanWS/doPreload/system-031/partial-installment
252,50,73,27,1971,HomeLoanService,HomeLoanWS/doPreload/system-031/policy-check
73,62,67,4,268,HomeLoanService,HomeLoanWS/doPreload/system-032/policy-check
617,57,149,28,4172,HomeLoanService,HomeLoanWS/doPreload/system-050/application-detail
1822,784,1127,6,6762,HomeLoanService,HomeLoanWS/doPreload/system-050/approve-result-front
1242,1242,1242,1,1242,HomeLoanService,HomeLoanWS/doPreload/system-050/approve-summary
125,9,40,4,160,HomeLoanService,HomeLoanWS/doPreload/system-050/basic-repayment-ability
2968,436,1450,5,7250,HomeLoanService,HomeLoanWS/doPreload/system-050/collateral-acting
1035,8,455,7,3185,HomeLoanService,HomeLoanWS/doPreload/system-050/credit-limit-detail
1010,4,395,49,19355,HomeLoanService,HomeLoanWS/doPreload/system-050/cust-info
916,256,435,8,3480,HomeLoanService,HomeLoanWS/doPreload/system-050/income
731,16,501,5,2505,HomeLoanService,HomeLoanWS/doPreload/system-050/loan-info
917,201,433,14,6062,HomeLoanService,HomeLoanWS/doPreload/system-050/personal-info
64,63,63,2,126,HomeLoanService,HomeLoanWS/doPreload/system-050/policy-check
804,9,451,7,3157,HomeLoanService,HomeLoanWS/doPreload/system-050/relationship
133,15,52,13,676,HomeLoanService,HomeLoanWS/doPreload/system-050/sale-channel
1442,687,1021,14,14294,HomeLoanService,HomeLoanWS/doPreload/system-050/summary-package
669,479,602,3,1806,HomeLoanService,HomeLoanWS/doPreload/system-050/summary-result
690,637,663,2,1326,HomeLoanService,HomeLoanWS/doPreload/system-050/verify-document
3628,183,1071,10,10710,HomeLoanService,HomeLoanWS/doResubmit/post-approve-010/approve-result-front
301,198,249,2,498,HomeLoanService,HomeLoanWS/doResubmit/post-approve-010/summary-result
65,41,53,2,106,HomeLoanService,HomeLoanWS/doReturn/approve-020
71,71,71,1,71,HomeLoanService,HomeLoanWS/doReturn2Analyst/approve-030
41,41,41,1,41,HomeLoanService,HomeLoanWS/doReturn2Analyst/approve-060
67,67,67,1,67,HomeLoanService,HomeLoanWS/doReturn2f/approve-010
144,7,64,6,384,HomeLoanService,HomeLoanWS/doReturn2f/approve-020
94,48,75,3,225,HomeLoanService,HomeLoanWS/doReturn2f/approve-060
28,28,28,1,28,HomeLoanService,HomeLoanWS/doSave/approve-010/collateral-acting
18,18,18,1,18,HomeLoanService,HomeLoanWS/doSave/approve-010/credit-exposure
31,31,31,1,31,HomeLoanService,HomeLoanWS/doSave/approve-010/credit-limit-detail
25,25,25,1,25,HomeLoanService,HomeLoanWS/doSave/approve-010/debt-exposure
34,28,30,5,150,HomeLoanService,HomeLoanWS/doSave/approve-010/partial-installment
18,16,16,3,48,HomeLoanService,HomeLoanWS/doSave/approve-010/relationship
526,111,173,44,7612,HomeLoanService,HomeLoanWS/doSave/approve-010/verify-document
130,17,56,32,1792,HomeLoanService,HomeLoanWS/doSave/approve-020/application-detail
478,49,213,15,3195,HomeLoanService,HomeLoanWS/doSave/approve-020/approve-decision
2152,24,116,52,6032,HomeLoanService,HomeLoanWS/doSave/approve-020/approve-summary
198,34,68,57,3876,HomeLoanService,HomeLoanWS/doSave/approve-020/collateral-acting
129,15,45,22,990,HomeLoanService,HomeLoanWS/doSave/approve-020/credit-exposure
89,16,46,9,414,HomeLoanService,HomeLoanWS/doSave/approve-020/credit-limit-detail
170,30,107,17,1819,HomeLoanService,HomeLoanWS/doSave/approve-020/debt-exposure
185,67,108,16,1728,HomeLoanService,HomeLoanWS/doSave/approve-020/partial-installment
389,24,82,63,5166,HomeLoanService,HomeLoanWS/doSave/approve-020/policy-check
181,17,46,23,1058,HomeLoanService,HomeLoanWS/doSave/approve-020/relationship
398,4,151,70,10570,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-customer
280,121,171,29,4959,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-document
351,79,186,16,2976,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-hr
261,33,91,11,1001,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-income
580,119,270,22,5940,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-summary
259,102,167,13,2171,HomeLoanService,HomeLoanWS/doSave/approve-020/verify-website
280,14,62,35,2170,HomeLoanService,HomeLoanWS/doSave/approve-030/application-detail
424,51,185,21,3885,HomeLoanService,HomeLoanWS/doSave/approve-030/approve-decision
224,5,79,78,6162,HomeLoanService,HomeLoanWS/doSave/approve-030/approve-summary
398,40,108,32,3456,HomeLoanService,HomeLoanWS/doSave/approve-030/collateral-acting
99,32,56,11,616,HomeLoanService,HomeLoanWS/doSave/approve-030/credit-exposure
127,8,64,17,1088,HomeLoanService,HomeLoanWS/doSave/approve-030/credit-limit-detail
270,54,140,14,1960,HomeLoanService,HomeLoanWS/doSave/approve-030/debt-exposure
291,55,99,31,3069,HomeLoanService,HomeLoanWS/doSave/approve-030/partial-installment
274,26,85,117,9945,HomeLoanService,HomeLoanWS/doSave/approve-030/policy-check
81,17,53,20,1060,HomeLoanService,HomeLoanWS/doSave/approve-030/relationship
613,126,246,25,6150,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-customer
652,13,187,32,5984,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-document
614,124,231,23,5313,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-hr
225,39,81,24,1944,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-income
648,129,268,20,5360,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-summary
584,128,223,24,5352,HomeLoanService,HomeLoanWS/doSave/approve-030/verify-website
70,29,50,4,200,HomeLoanService,HomeLoanWS/doSave/approve-040/application-detail
158,112,135,2,270,HomeLoanService,HomeLoanWS/doSave/approve-040/approve-decision
131,38,83,9,747,HomeLoanService,HomeLoanWS/doSave/approve-040/approve-summary
257,60,112,6,672,HomeLoanService,HomeLoanWS/doSave/approve-040/collateral-acting
77,32,48,6,288,HomeLoanService,HomeLoanWS/doSave/approve-040/credit-exposure
180,33,80,6,480,HomeLoanService,HomeLoanWS/doSave/approve-040/credit-limit-detail
237,76,147,4,588,HomeLoanService,HomeLoanWS/doSave/approve-040/debt-exposure
93,93,93,1,93,HomeLoanService,HomeLoanWS/doSave/approve-040/partial-installment
171,30,81,18,1458,HomeLoanService,HomeLoanWS/doSave/approve-040/policy-check
76,44,58,3,174,HomeLoanService,HomeLoanWS/doSave/approve-040/relationship
281,140,197,3,591,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-customer
215,121,160,5,800,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-document
300,142,204,3,612,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-hr
110,56,74,3,222,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-income
271,145,193,3,579,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-summary
275,145,193,3,579,HomeLoanService,HomeLoanWS/doSave/approve-040/verify-website
82,40,59,4,236,HomeLoanService,HomeLoanWS/doSave/approve-055/approve-decision
70,52,63,3,189,HomeLoanService,HomeLoanWS/doSave/approve-055/approve-summary
135,31,49,60,2940,HomeLoanService,HomeLoanWS/doSave/approve-055/collateral-acting
118,6,61,34,2074,HomeLoanService,HomeLoanWS/doSave/approve-055/policy-check
96,96,96,1,96,HomeLoanService,HomeLoanWS/doSave/approve-055/verify-customer
357,120,168,26,4368,HomeLoanService,HomeLoanWS/doSave/approve-055/verify-document
72,37,54,2,108,HomeLoanService,HomeLoanWS/doSave/approve-060/application-detail
508,47,229,30,6870,HomeLoanService,HomeLoanWS/doSave/approve-060/approve-decision
186,22,70,109,7630,HomeLoanService,HomeLoanWS/doSave/approve-060/approve-summary
219,39,88,32,2816,HomeLoanService,HomeLoanWS/doSave/approve-060/collateral-acting
120,15,59,27,1593,HomeLoanService,HomeLoanWS/doSave/approve-060/credit-exposure
229,9,61,26,1586,HomeLoanService,HomeLoanWS/doSave/approve-060/credit-limit-detail
391,21,134,26,3484,HomeLoanService,HomeLoanWS/doSave/approve-060/debt-exposure
258,65,112,29,3248,HomeLoanService,HomeLoanWS/doSave/approve-060/partial-installment
227,18,67,120,8040,HomeLoanService,HomeLoanWS/doSave/approve-060/policy-check
145,22,62,29,1798,HomeLoanService,HomeLoanWS/doSave/approve-060/relationship
547,131,240,31,7440,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-customer
646,116,199,34,6766,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-document
680,128,255,29,7395,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-hr
141,41,80,27,2160,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-income
620,130,235,30,7050,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-summary
591,126,220,25,5500,HomeLoanService,HomeLoanWS/doSave/approve-060/verify-website
433,243,338,2,676,HomeLoanService,HomeLoanWS/doSave/approve-070/approve-decision
159,44,86,7,602,HomeLoanService,HomeLoanWS/doSave/approve-070/approve-summary
62,62,62,1,62,HomeLoanService,HomeLoanWS/doSave/approve-070/collateral-acting
64,46,55,2,110,HomeLoanService,HomeLoanWS/doSave/approve-070/credit-exposure
67,49,57,3,171,HomeLoanService,HomeLoanWS/doSave/approve-070/credit-limit-detail
140,140,140,1,140,HomeLoanService,HomeLoanWS/doSave/approve-070/debt-exposure
178,100,139,2,278,HomeLoanService,HomeLoanWS/doSave/approve-070/partial-installment
145,26,77,11,847,HomeLoanService,HomeLoanWS/doSave/approve-070/policy-check
64,46,55,2,110,HomeLoanService,HomeLoanWS/doSave/approve-070/relationship
261,144,207,4,828,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-customer
317,141,191,4,764,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-document
311,146,213,4,852,HomeLoanService,HomeLoanWS/doSave/approve-070/verify-hr
