Period(ms),Service,Operation
60,HomeLoanService,HomeLoanWS/doNavigate/prepare-021
87,HomeLoanService,HomeLoanWS/doNavigate/prepare-022
96,HomeLoanService,HomeLoanWS/doNavigate/prepare-030
25,HomeLoanService,HomeLoanWS/doNext/approve-010/credit-limit-detail
1653,HomeLoanService,HomeLoanWS/doNext/approve-010/verify-document
39,HomeLoanService,HomeLoanWS/doNext/approve-020/application-detail
223,HomeLoanService,HomeLoanWS/doNext/approve-020/approve-decision
81,HomeLoanService,HomeLoanWS/doNext/approve-020/collateral-acting
72,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-exposure
63,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-limit-detail
112,HomeLoanService,HomeLoanWS/doNext/approve-020/debt-exposure
111,HomeLoanService,HomeLoanWS/doNext/approve-020/partial-installment
72,HomeLoanService,HomeLoanWS/doNext/approve-020/relationship
2743,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-customer
4956,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-document
2830,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-hr
83,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-income
2838,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-summary
2651,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-website
78,HomeLoanService,HomeLoanWS/doNext/approve-030/application-detail
318,HomeLoanService,HomeLoanWS/doNext/approve-030/approve-decision
108,HomeLoanService,HomeLoanWS/doNext/approve-030/collateral-acting
106,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-exposure
116,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-limit-detail
181,HomeLoanService,HomeLoanWS/doNext/approve-030/debt-exposure
133,HomeLoanService,HomeLoanWS/doNext/approve-030/partial-installment
112,HomeLoanService,HomeLoanWS/doNext/approve-030/relationship
4289,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-customer
3487,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-document
4256,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-hr
124,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-income
4311,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-summary
4354,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-website
23,HomeLoanService,HomeLoanWS/doNext/approve-040/application-detail
306,HomeLoanService,HomeLoanWS/doNext/approve-040/approve-decision
92,HomeLoanService,HomeLoanWS/doNext/approve-040/collateral-acting
113,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-exposure
82,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-limit-detail
187,HomeLoanService,HomeLoanWS/doNext/approve-040/debt-exposure
148,HomeLoanService,HomeLoanWS/doNext/approve-040/partial-installment
72,HomeLoanService,HomeLoanWS/doNext/approve-040/relationship
3142,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-customer
3641,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-document
3209,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-hr
102,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-income
3934,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-summary
3942,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-website
93,HomeLoanService,HomeLoanWS/doNext/approve-055/collateral-acting
3313,HomeLoanService,HomeLoanWS/doNext/approve-055/verify-document
352,HomeLoanService,HomeLoanWS/doNext/approve-060/approve-decision
134,HomeLoanService,HomeLoanWS/doNext/approve-060/collateral-acting
104,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-exposure
108,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-limit-detail
210,HomeLoanService,HomeLoanWS/doNext/approve-060/debt-exposure
147,HomeLoanService,HomeLoanWS/doNext/approve-060/partial-installment
111,HomeLoanService,HomeLoanWS/doNext/approve-060/relationship
4352,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-customer
3850,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-document
4373,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-hr
135,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-income
4227,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-summary
4320,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-website
370,HomeLoanService,HomeLoanWS/doNext/approve-070/approve-decision
86,HomeLoanService,HomeLoanWS/doNext/approve-070/collateral-acting
66,HomeLoanService,HomeLoanWS/doNext/approve-070/credit-exposure
73,HomeLoanService,HomeLoanWS/doNext/approve-070/credit-limit-detail
175,HomeLoanService,HomeLoanWS/doNext/approve-070/debt-exposure
117,HomeLoanService,HomeLoanWS/doNext/approve-070/partial-installment
105,HomeLoanService,HomeLoanWS/doNext/approve-070/relationship
3154,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-customer
2709,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-document
3077,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-hr
88,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-income
3065,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-summary
2988,HomeLoanService,HomeLoanWS/doNext/approve-070/verify-website
2410,HomeLoanService,HomeLoanWS/doNext/post-approve-010/summary-result
3640,HomeLoanService,HomeLoanWS/doNext/prepare-010/cust-info
165,HomeLoanService,HomeLoanWS/doNext/prepare-020/income
307,HomeLoanService,HomeLoanWS/doNext/prepare-020/personal-info
1229,HomeLoanService,HomeLoanWS/doNext/prepare-021/package
108,HomeLoanService,HomeLoanWS/doNext/prepare-030/sale-channel
204,HomeLoanService,HomeLoanWS/doPreload/approve-010/application-detail
375,HomeLoanService,HomeLoanWS/doPreload/approve-010/collateral-acting
