MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
151,2,22,53,1166,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
407,72,135,53,7155,CommonService,ConfHousingGradeWS/getConfHousingGrade
519,82,145,28,4060,CommonService,ConfMrtaInterestWS/getConfMrtaInterest
139,1,12,72,864,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
9763,883,4298,11,47278,CommonService,KbmfOnlineCatsWS/InquiryCollateral
243,93,135,20,2700,CommonService,KbmfOnlineCatsWS/InquiryROLDetail
14414,11714,12627,5,63135,CommonService,LoanWS/getHLCollateral
6017,438,3784,17,64328,CommonService,LoanWS/getHomeLendingLimit
14,1,2,162,324,CommonService,PartInstPeriodWS/getConfPartInstPeriod
108,12,30,19,570,CommonService,RolWS/confirmROL
589,79,242,25,6050,CommonService,RolWS/getCollteral
220,6,27,25,675,CommonService,RolWS/getConfHousingAppraisal
287,192,231,4,924,CommonService,UnsecureWS/bypassLogin
1721,5,46,446,20516,CommonService,UnsecureWS/login
934255,12,93446,10,934460,CommonService,WorkflowWS/changeApprove020ApproveType
928376,6,21598,43,928714,CommonService,WorkflowWS/getApprove020ApproveType
45,27,31,14,434,CommonService,WorkflowWS/getDefaultPoolList
929531,4,3061,634,1940674,CommonService,WorkflowWS/listUserInbox
69,2,5,367,1835,CommonService,WorkflowWS/logout
872,56,110,593,65230,CommonService,WorkflowWS/openCaseByAppNo
1049,59,92,331,30452,CommonService,addressWS/getAllAddress
770,94,145,184,26680,CommonService,addressWS/getAllDIHDistrict
143,5,17,184,3128,CommonService,addressWS/getAllDIHProvince
15080,553,874,184,160816,CommonService,addressWS/getAllDIHSubDistrict
51,6,9,41,369,CommonService,applicationCaseWS/applicationExternalService
156,77,116,2,232,CommonService,applicationCaseWS/getApplicationHistory
1202,33,142,263,37346,CommonService,applicationCaseWS/getApplicationStatus
96,5,12,32,384,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable
3408,292,1018,36,36648,CommonService,applicationCaseWS/getAppointmentInfo
439,34,146,450,65700,CommonService,applicationCaseWS/getApproverTable
597,500,548,2,1096,CommonService,applicationCaseWS/getAssignModelUserList
391,38,142,30,4260,CommonService,applicationCaseWS/getAssignUserList
502,58,147,179,26313,CommonService,applicationCaseWS/getCreditorsTable
279,100,188,20,3760,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch
409,175,279,20,5580,CommonService,applicationCaseWS/getManagerOfSpecificBranch
48,5,10,55,550,CommonService,applicationCaseWS/getSmartServeCaseId
21,8,10,11,110,CommonService,applicationCaseWS/getWitness1ForDsa
13,6,9,11,99,CommonService,applicationCaseWS/getWitness2ForDsa
