MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
1200,75,536,11,5896,HomeLoanService,HomeLoanWS/doPreload/approve-055/approve-decision
1208,169,308,16,4928,HomeLoanService,HomeLoanWS/doPreload/approve-055/approve-summary
244,107,169,7,1183,HomeLoanService,HomeLoanWS/doPreload/approve-055/collateral-acting
76,76,76,1,76,HomeLoanService,HomeLoanWS/doPreload/approve-055/credit-exposure
1604,41,563,3,1689,HomeLoanService,HomeLoanWS/doPreload/approve-055/cust-info
327,167,238,3,714,HomeLoanService,HomeLoanWS/doPreload/approve-055/debt-exposure
136,89,114,4,456,HomeLoanService,HomeLoanWS/doPreload/approve-055/loan-info
323,152,250,10,2500,HomeLoanService,HomeLoanWS/doPreload/approve-055/partial-installment
139,139,139,1,139,HomeLoanService,HomeLoanWS/doPreload/approve-055/personal-info
1173,41,342,18,6156,HomeLoanService,HomeLoanWS/doPreload/approve-055/policy-check
194,50,122,2,244,HomeLoanService,HomeLoanWS/doPreload/approve-055/relationship
30,30,30,1,30,HomeLoanService,HomeLoanWS/doPreload/approve-055/sale-channel
320,121,164,14,2296,HomeLoanService,HomeLoanWS/doPreload/approve-055/summary-package
952,349,650,2,1300,HomeLoanService,HomeLoanWS/doPreload/approve-055/summary-result
149,149,149,1,149,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-customer
210,154,182,2,364,HomeLoanService,HomeLoanWS/doPreload/approve-055/verify-document
378,60,174,3,522,HomeLoanService,HomeLoanWS/doPreload/approve-060/application-detail
707,356,511,10,5110,HomeLoanService,HomeLoanWS/doPreload/approve-060/approve-decision
5115,141,443,50,22150,HomeLoanService,HomeLoanWS/doPreload/approve-060/approve-summary
79,78,78,3,234,HomeLoanService,HomeLoanWS/doPreload/approve-060/collateral-acting
91,91,91,1,91,HomeLoanService,HomeLoanWS/doPreload/approve-060/credit-exposure
156,79,117,2,234,HomeLoanService,HomeLoanWS/doPreload/approve-060/credit-limit-detail
103,35,67,3,201,HomeLoanService,HomeLoanWS/doPreload/approve-060/cust-info
138,138,138,1,138,HomeLoanService,HomeLoanWS/doPreload/approve-060/debt-exposure
73,73,73,1,73,HomeLoanService,HomeLoanWS/doPreload/approve-060/income
102,58,84,3,252,HomeLoanService,HomeLoanWS/doPreload/approve-060/loan-info
284,141,189,3,567,HomeLoanService,HomeLoanWS/doPreload/approve-060/partial-installment
74,74,74,1,74,HomeLoanService,HomeLoanWS/doPreload/approve-060/personal-info
656,34,343,9,3087,HomeLoanService,HomeLoanWS/doPreload/approve-060/policy-check
80,76,78,3,234,HomeLoanService,HomeLoanWS/doPreload/approve-060/relationship
64,64,64,1,64,HomeLoanService,HomeLoanWS/doPreload/approve-060/sale-channel
229,101,140,13,1820,HomeLoanService,HomeLoanWS/doPreload/approve-060/summary-package
451,226,292,7,2044,HomeLoanService,HomeLoanWS/doPreload/approve-060/summary-result
51,51,51,1,51,HomeLoanService,HomeLoanWS/doPreload/approve-060/verify-customer
225,130,185,3,555,HomeLoanService,HomeLoanWS/doPreload/approve-060/verify-document
189,93,141,2,282,HomeLoanService,HomeLoanWS/doPreload/approve-060/verify-hr
329,68,185,6,1110,HomeLoanService,HomeLoanWS/doPreload/approve-060/verify-income
173,40,86,6,516,HomeLoanService,HomeLoanWS/doPreload/approve-060/verify-website
103,60,81,2,162,HomeLoanService,HomeLoanWS/doPreload/end/approve-result-front
686,35,134,10,1340,HomeLoanService,HomeLoanWS/doPreload/end/cust-info
17,17,17,1,17,HomeLoanService,HomeLoanWS/doPreload/end/sale-channel
136,136,136,1,136,HomeLoanService,HomeLoanWS/doPreload/end/summary-package
368,368,368,1,368,HomeLoanService,HomeLoanWS/doPreload/end/summary-result
3349,269,940,9,8460,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/approve-result-front
217,193,205,2,410,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/approve-summary
352,352,352,1,352,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/basic-repayment-ability
436,134,285,2,570,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/cust-info
546,164,308,3,924,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/income
165,97,131,2,262,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/loan-info
486,196,341,2,682,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/personal-info
86,86,86,1,86,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/sale-channel
196,130,151,4,604,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/summary-package
777,202,489,2,978,HomeLoanService,HomeLoanWS/doPreload/post-approve-010/summary-result
119,3,11,167,1837,HomeLoanService,HomeLoanWS/doPreload/prepare-010/basic-repayment-ability
421,35,74,42,3108,HomeLoanService,HomeLoanWS/doPreload/prepare-010/cust-info
50,6,24,4,96,HomeLoanService,HomeLoanWS/doPreload/prepare-011/basic-repayment-ability
65,40,48,4,192,HomeLoanService,HomeLoanWS/doPreload/prepare-011/cust-info
1161,30,73,147,10731,HomeLoanService,HomeLoanWS/doPreload/prepare-011/summary-result
90,10,28,9,252,HomeLoanService,HomeLoanWS/doPreload/prepare-012/basic-repayment-ability
213,40,80,12,960,HomeLoanService,HomeLoanWS/doPreload/prepare-012/cust-info
1418,45,261,172,44892,HomeLoanService,HomeLoanWS/doPreload/prepare-012/summary-result
592,113,350,8,2800,HomeLoanService,HomeLoanWS/doPreload/prepare-013/summary-result
82,5,30,16,480,HomeLoanService,HomeLoanWS/doPreload/prepare-020/basic-repayment-ability
240,39,99,16,1584,HomeLoanService,HomeLoanWS/doPreload/prepare-020/cust-info
405,29,86,365,31390,HomeLoanService,HomeLoanWS/doPreload/prepare-020/income
906,29,113,706,79778,HomeLoanService,HomeLoanWS/doPreload/prepare-020/loan-info
520,34,94,222,20868,HomeLoanService,HomeLoanWS/doPreload/prepare-020/personal-info
89,8,38,14,532,HomeLoanService,HomeLoanWS/doPreload/prepare-021/basic-repayment-ability
308,52,85,14,1190,HomeLoanService,HomeLoanWS/doPreload/prepare-021/cust-info
299,38,66,156,10296,HomeLoanService,HomeLoanWS/doPreload/prepare-021/income
1365,61,115,463,53245,HomeLoanService,HomeLoanWS/doPreload/prepare-021/loan-info
8444,76,173,941,162793,HomeLoanService,HomeLoanWS/doPreload/prepare-021/package
199,38,73,32,2336,HomeLoanService,HomeLoanWS/doPreload/prepare-021/personal-info
2620,84,235,3044,715340,HomeLoanService,HomeLoanWS/doPreload/prepare-021/summary-package
89,18,53,2,106,HomeLoanService,HomeLoanWS/doPreload/prepare-022/basic-repayment-ability
110,39,68,4,272,HomeLoanService,HomeLoanWS/doPreload/prepare-022/cust-info
146,41,69,14,966,HomeLoanService,HomeLoanWS/doPreload/prepare-022/income
355,75,170,35,5950,HomeLoanService,HomeLoanWS/doPreload/prepare-022/loan-info
119,50,73,3,219,HomeLoanService,HomeLoanWS/doPreload/prepare-022/personal-info
874,88,213,345,73485,HomeLoanService,HomeLoanWS/doPreload/prepare-022/summary-package
132,5,45,16,720,HomeLoanService,HomeLoanWS/doPreload/prepare-030/basic-repayment-ability
254,45,124,18,2232,HomeLoanService,HomeLoanWS/doPreload/prepare-030/cust-info
527,37,137,44,6028,HomeLoanService,HomeLoanWS/doPreload/prepare-030/income
657,63,206,52,10712,HomeLoanService,HomeLoanWS/doPreload/prepare-030/loan-info
820,39,161,46,7406,HomeLoanService,HomeLoanWS/doPreload/prepare-030/personal-info
336,9,42,327,13734,HomeLoanService,HomeLoanWS/doPreload/prepare-030/sale-channel
1430,100,240,75,18000,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-package
3617,39,639,271,173169,HomeLoanService,HomeLoanWS/doPreload/prepare-030/summary-result
157,7,40,5,200,HomeLoanService,HomeLoanWS/doPreload/system-011/basic-repayment-ability
313,50,108,14,1512,HomeLoanService,HomeLoanWS/doPreload/system-011/cust-info
676,35,72,194,13968,HomeLoanService,HomeLoanWS/doPreload/system-011/summary-result
85,45,65,2,130,HomeLoanService,HomeLoanWS/doPreload/system-012/cust-info
596,110,327,10,3270,HomeLoanService,HomeLoanWS/doPreload/system-012/summary-result
95,95,95,1,95,HomeLoanService,HomeLoanWS/doPreload/system-013/basic-repayment-ability
383,244,313,2,626,HomeLoanService,HomeLoanWS/doPreload/system-013/income
143,143,143,1,143,HomeLoanService,HomeLoanWS/doPreload/system-013/loan-info
234,128,181,2,362,HomeLoanService,HomeLoanWS/doPreload/system-013/personal-info
67,30,52,3,156,HomeLoanService,HomeLoanWS/doPreload/system-013/sale-channel
840,216,457,32,14624,HomeLoanService,HomeLoanWS/doPreload/system-013/summary-result
61,25,43,2,86,HomeLoanService,HomeLoanWS/doPreload/system-020/basic-repayment-ability
149,91,120,2,240,HomeLoanService,HomeLoanWS/doPreload/system-020/cust-info
524,78,228,3,684,HomeLoanService,HomeLoanWS/doPreload/system-020/income
171,114,139,4,556,HomeLoanService,HomeLoanWS/doPreload/system-020/loan-info
181,75,110,3,330,HomeLoanService,HomeLoanWS/doPreload/system-020/personal-info
88,27,52,14,728,HomeLoanService,HomeLoanWS/doPreload/system-020/sale-channel
215,151,170,9,1530,HomeLoanService,HomeLoanWS/doPreload/system-020/summary-package
1640,157,452,97,43844,HomeLoanService,HomeLoanWS/doPreload/system-020/summary-result
258,39,90,10,900,HomeLoanService,HomeLoanWS/doPreload/system-030/cust-info
38,38,38,1,38,HomeLoanService,HomeLoanWS/doPreload/system-030/sale-channel
131,107,119,2,238,HomeLoanService,HomeLoanWS/doPreload/system-030/summary-package
689,244,411,5,2055,HomeLoanService,HomeLoanWS/doPreload/system-030/summary-result
182,72,134,10,1340,HomeLoanService,HomeLoanWS/doPreload/system-030/verify-document
94,61,77,2,154,HomeLoanService,HomeLoanWS/doPreload/system-031/application-detail
576,303,409,6,2454,HomeLoanService,HomeLoanWS/doPreload/system-031/approve-decision
736,154,285,6,1710,HomeLoanService,HomeLoanWS/doPreload/system-031/approve-summary
92,79,84,3,252,HomeLoanService,HomeLoanWS/doPreload/system-031/cust-info
157,157,157,1,157,HomeLoanService,HomeLoanWS/doPreload/system-031/debt-exposure
740,166,376,3,1128,HomeLoanService,HomeLoanWS/doPreload/system-031/partial-installment
879,174,416,21,8736,HomeLoanService,HomeLoanWS/doPreload/system-031/policy-check
99,86,92,2,184,HomeLoanService,HomeLoanWS/doPreload/system-031/relationship
155,148,151,2,302,HomeLoanService,HomeLoanWS/doPreload/system-031/summary-package
659,273,417,3,1251,HomeLoanService,HomeLoanWS/doPreload/system-031/summary-result
131,90,110,2,220,HomeLoanService,HomeLoanWS/doPreload/system-031/verify-customer
164,113,131,3,393,HomeLoanService,HomeLoanWS/doPreload/system-031/verify-document
56,47,51,2,102,HomeLoanService,HomeLoanWS/doReturn/approve-020
69,46,57,2,114,HomeLoanService,HomeLoanWS/doReturn/system-011
35,31,33,2,66,HomeLoanService,HomeLoanWS/doReturn/system-020
281,83,131,5,655,HomeLoanService,HomeLoanWS/doReturn2Analyst/approve-030
50,50,50,1,50,HomeLoanService,HomeLoanWS/doReturn2f/approve-010
383,48,130,9,1170,HomeLoanService,HomeLoanWS/doReturn2f/approve-020
123,123,123,1,123,HomeLoanService,HomeLoanWS/doReturn2f/approve-055
23,23,23,2,46,HomeLoanService,HomeLoanWS/doSave/approve-010/collateral-acting
27,27,27,1,27,HomeLoanService,HomeLoanWS/doSave/approve-010/credit-exposure
94,21,55,8,440,HomeLoanService,HomeLoanWS/doSave/approve-010/credit-limit-detail
72,27,41,11,451,HomeLoanService,HomeLoanWS/doSave/approve-010/partial-installment
52,14,24,12,288,HomeLoanService,HomeLoanWS/doSave/approve-010/relationship
27,27,27,1,27,HomeLoanService,HomeLoanWS/doSave/approve-010/summary-package
640,79,215,12,2580,HomeLoanService,HomeLoanWS/doSave/approve-010/verify-document
247,15,61,28,1708,HomeLoanService,HomeLoanWS/doSave/approve-020/application-detail
401,32,127,67,8509,HomeLoanService,HomeLoanWS/doSave/approve-020/approve-decision
252,21,80,35,2800,HomeLoanService,HomeLoanWS/doSave/approve-020/approve-summary
