MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
505,443,474,2,948,HomeLoanService,HomeLoanWS/doSubmit/approve-020/application-detail
1067,123,531,10,5310,HomeLoanService,HomeLoanWS/doSubmit/approve-020/approve-summary
952,952,952,1,952,HomeLoanService,HomeLoanWS/doSubmit/approve-020/credit-exposure
511,511,511,1,511,HomeLoanService,HomeLoanWS/doSubmit/approve-020/personal-info
671,336,463,5,2315,HomeLoanService,HomeLoanWS/doSubmit/approve-020/verify-document
282,126,166,5,830,HomeLoanService,HomeLoanWS/doSubmit/approve-030/approve-summary
55,55,55,1,55,HomeLoanService,HomeLoanWS/doSubmit/approve-040/approve-summary
2490,158,900,15,13500,HomeLoanService,HomeLoanWS/doSubmit/approve-060/approve-summary
5810,2197,3729,10,37290,HomeLoanService,HomeLoanWS/doSubmit/post-approve-010/approve-result-front
5929,3075,4120,5,20600,HomeLoanService,HomeLoanWS/doSubmit/post-approve-010/approve-summary
3864,3635,3749,2,7498,HomeLoanService,HomeLoanWS/doSubmit/post-approve-010/loan-info
39930,69,3654,22,80388,HomeLoanService,HomeLoanWS/doSubmit/prepare-010/basic-repayment-ability
1309,324,488,20,9760,HomeLoanService,HomeLoanWS/doSubmit/prepare-011/summary-result
88,31,43,21,903,HomeLoanService,HomeLoanWS/doSubmit/prepare-012/summary-result
670,670,670,1,670,HomeLoanService,HomeLoanWS/doSubmit/prepare-013/summary-result
12141,376,1785,43,76755,HomeLoanService,HomeLoanWS/doSubmit/prepare-020/loan-info
390,74,123,19,2337,HomeLoanService,HomeLoanWS/doSubmit/prepare-021/summary-package
110,20,83,13,1079,HomeLoanService,HomeLoanWS/doSubmit/prepare-022/summary-package
1810,246,701,37,25937,HomeLoanService,HomeLoanWS/doSubmit/prepare-030/summary-result
32575,6,4496,19,85424,HomeLoanService,HomeLoanWS/doSubmit/system-011
36,36,36,1,36,HomeLoanService,HomeLoanWS/doSubmit/system-012
226,60,116,3,348,HomeLoanService,HomeLoanWS/doSubmit/system-013
4615,60,557,20,11140,HomeLoanService,HomeLoanWS/doSubmit/system-020
112,42,77,2,154,HomeLoanService,HomeLoanWS/doSubmit/system-031
21,4,8,5,40,InboundService,eConsentWS/notificationEConsent
3198,9,909,99,89991,InboundService,inboundNoHeaderWS/notificationResult
421083,28,909,50,89991,InboundService,inboundWS/notificationResult
