Log Time,Period(ms),Service,Operation
2018-07-05 18:38:32,286,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:33,422,CommonService,applicationCaseWS/getAppointmentInfo/H6100267R0
2018-07-05 18:38:33,10,CommonService,applicationCaseWS/getAppointmentFromAppointmentTable/H6100267R0
2018-07-05 18:38:33,11,CommonService,dropdownWS/getDropdown/DISBURSEMENT_TYPE
2018-07-05 18:38:33,15,CommonService,dropdownWS/getDropdown/DISBURSEMENT_BY
2018-07-05 18:38:33,257,CommonService,applicationCaseWS/getEmployeeOfSpecificBranch/810005
2018-07-05 18:38:33,379,CommonService,applicationCaseWS/getManagerOfSpecificBranch/810005
2018-07-05 18:38:34,5,CommonService,WorkflowWS/logout
2018-07-05 18:38:34,5,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-05 18:38:35,546,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:37,21,CommonService,dropdownWS/getDropdown/SALE_CHANNEL
2018-07-05 18:38:37,29,CommonService,dropdownWS/getDropdown/HL_PRODUCT_MA
2018-07-05 18:38:37,43,CommonService,dropdownWS/getAppStatusDropdown
2018-07-05 18:38:39,194,CommonService,customerWS/getInquiryTable
2018-07-05 18:38:40,219,CommonService,WorkflowWS/openCaseByAppNo/H61000AER0
2018-07-05 18:38:40,37,CommonService,statusRejectWS/getRejectList/H61000AER0
2018-07-05 18:38:41,27,CommonService,dropdownWS/getDropdown/HL_DECISION_REASON
2018-07-05 18:38:41,26,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-05 18:38:41,32,CommonService,dropdownWS/getDropdown/HL_PRODUCT_ALL
2018-07-05 18:38:41,32,CommonService,dropdownWS/getConfValueList/PRODUCT_PROGRAM_CODE
2018-07-05 18:38:41,24,CommonService,dropdownWS/getDropdown/CONTRACT_TYPE_CODE
2018-07-05 18:38:43,4,CommonService,dropdownWS/getAppStatusDropdown
2018-07-05 18:38:43,31,CommonService,dropdownWS/getDropdown/SALE_CHANNEL
2018-07-05 18:38:43,28,CommonService,dropdownWS/getDropdown/HL_PRODUCT_MA
2018-07-05 18:38:44,94,CommonService,UnsecureWS/login
2018-07-05 18:38:45,840,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:45,1055,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:38:48,125,CommonService,WorkflowWS/openCaseByAppNo/H61003FDR0
2018-07-05 18:38:49,59,CommonService,statusRejectWS/getRejectList/H61003FDR0
2018-07-05 18:38:52,5370,CommonService,customerWS/getDeductAccountDetails/7451029295
2018-07-05 18:38:55,35,CommonService,dropdownWS/getAppStatusDropdown
2018-07-05 18:38:56,251,CommonService,applicationCaseWS/getCreditorsTable/H61003FDR0
2018-07-05 18:38:56,1284,CommonService,applicationCaseWS/getApplicationStatus/H61003FDR0
2018-07-05 18:38:57,21,CommonService,dropdownWS/getDropdown/HL_PURPOSE
2018-07-05 18:39:02,18,CommonService,dropdownWS/getDropdown/SALE_CHANNEL
2018-07-05 18:39:02,10,CommonService,dropdownWS/getDropdown/HL_PRODUCT_MA
2018-07-05 18:39:02,11,CommonService,dropdownWS/getAppStatusDropdown
2018-07-05 18:39:06,38,CommonService,customerWS/getInquiryTable
2018-07-05 18:39:07,228,CommonService,WorkflowWS/openCaseByAppNo/H61003D1R0
2018-07-05 18:39:07,39,CommonService,statusRejectWS/getRejectList/H61003D1R0
2018-07-05 18:39:07,254,CommonService,WorkflowWS/openCaseByAppNo/H6100245R0
2018-07-05 18:39:07,23,CommonService,statusRejectWS/getRejectList/H6100245R0
2018-07-05 18:39:21,42,CommonService,UnsecureWS/login
2018-07-05 18:39:22,23,CommonService,customerWS/getInquiryTable
2018-07-05 18:39:22,28,CommonService,messageCodeWS/getAllMessage
2018-07-05 18:39:22,97,CommonService,WorkflowWS/listUserInbox
2018-07-05 18:39:23,112,CommonService,WorkflowWS/openCaseByAppNo/H6100245R0
2018-07-05 18:39:23,27,CommonService,statusRejectWS/getRejectList/H6100245R0
2018-07-05 18:39:24,79,CommonService,WorkflowWS/openCaseByAppNo/H6100438R0
2018-07-05 18:39:24,17,CommonService,statusRejectWS/getRejectList/H6100438R0
2018-07-05 18:39:25,279,CommonService,WorkflowWS/listUserInbox
